iter	Passed	Remaining
0	58	58266
1	58	29288
2	58	19599
3	59	14735
4	59	11819
5	59	9876
6	59	8486
7	60	7442
8	60	6630
9	60	5980
10	60	5448
11	60	5006
12	61	4637
13	61	4315
14	61	4037
15	61	3795
16	61	3582
17	62	3404
18	62	3238
19	63	3089
20	63	2950
21	63	2826
22	63	2713
23	64	2606
24	64	2507
25	64	2420
26	64	2340
27	65	2262
28	65	2189
29	65	2123
30	65	2061
31	66	2002
32	66	1951
33	66	1902
34	67	1851
35	67	1804
36	67	1763
37	68	1724
38	68	1693
39	68	1655
40	69	1622
41	69	1589
42	70	1562
43	70	1532
44	70	1502
45	71	1475
46	71	1450
47	71	1425
48	72	1406
49	72	1383
50	73	1359
51	73	1336
52	73	1320
53	74	1300
54	74	1280
55	74	1260
56	75	1241
57	75	1222
58	75	1204
59	75	1188
60	76	1173
61	76	1158
62	76	1142
63	77	1127
64	77	1111
65	77	1097
66	77	1084
67	77	1068
68	78	1055
69	78	1043
70	78	1031
71	79	1022
72	79	1013
73	80	1002
74	80	990
75	80	979
76	80	968
77	81	958
78	81	947
79	81	937
80	81	927
81	82	918
82	82	908
83	82	899
84	82	889
85	82	881
86	83	871
87	83	863
88	83	855
89	83	847
90	84	839
91	84	831
92	84	824
93	84	816
94	85	809
95	85	802
96	85	795
97	85	788
98	85	781
99	86	775
100	86	768
101	86	761
102	86	755
103	86	748
104	87	742
105	87	737
106	87	731
107	87	725
108	88	719
109	88	715
110	88	709
111	88	704
112	89	699
113	89	693
114	89	688
115	89	683
116	89	678
117	90	673
118	90	668
119	90	663
120	90	659
121	90	654
122	91	649
123	91	645
124	91	640
125	91	636
126	92	632
127	92	627
128	92	623
129	92	619
130	92	615
131	93	612
132	93	608
133	93	604
134	93	600
135	93	597
136	94	593
137	94	589
138	94	586
139	94	583
140	95	579
141	95	576
142	95	573
143	95	570
144	96	566
145	96	563
146	96	560
147	96	557
148	97	554
149	97	551
150	97	548
151	97	546
152	98	543
153	98	540
154	98	537
155	98	534
156	99	531
157	99	529
158	99	526
159	99	523
160	99	520
161	100	518
162	100	515
163	100	512
164	100	510
165	101	508
166	101	505
167	101	503
