iter	Passed	Remaining
0	58	58826
1	59	29540
2	59	19768
3	59	14877
4	60	11947
5	60	9993
6	60	8602
7	60	7559
8	61	6743
9	61	6092
10	61	5564
11	62	5112
12	62	4733
13	62	4407
14	62	4123
15	63	3877
16	63	3663
17	63	3471
18	63	3299
19	64	3144
20	64	3004
21	64	2878
22	64	2760
23	65	2654
24	65	2554
25	65	2462
26	65	2376
27	66	2297
28	66	2223
29	66	2154
30	66	2090
31	67	2030
32	67	1973
33	67	1920
34	67	1869
35	68	1821
36	68	1776
37	68	1734
38	68	1693
39	68	1655
40	69	1618
41	69	1583
42	69	1549
43	69	1518
44	70	1487
45	70	1458
46	70	1431
47	70	1405
48	71	1379
49	71	1355
50	71	1332
51	71	1309
52	72	1287
53	72	1267
54	72	1247
55	72	1227
56	73	1208
57	73	1190
58	73	1172
59	73	1155
60	73	1138
61	74	1122
62	74	1106
63	74	1091
64	74	1077
65	75	1063
66	75	1049
67	75	1036
68	75	1022
69	76	1010
70	76	997
71	76	985
72	76	974
73	76	963
74	77	951
75	77	940
76	77	930
77	77	919
78	78	909
79	78	900
80	78	890
81	78	881
82	78	870
83	79	861
84	79	853
85	79	844
86	79	836
87	79	828
88	80	820
89	80	812
90	80	804
91	80	797
92	81	790
93	81	783
94	81	776
95	81	769
96	81	762
97	82	756
98	82	750
99	82	743
100	83	738
101	83	733
102	83	727
103	83	721
104	84	716
105	84	710
106	84	704
107	84	699
108	84	693
109	85	688
110	85	683
111	85	678
112	85	673
113	86	668
114	86	663
115	86	659
116	86	654
117	86	649
118	87	644
119	87	640
120	87	636
121	87	631
122	87	627
123	88	623
124	88	618
125	88	614
126	88	610
127	89	606
128	89	602
129	89	599
130	89	595
131	90	591
132	90	588
133	90	584
134	90	581
135	90	577
136	91	574
137	91	570
138	91	567
139	91	564
140	92	561
141	92	557
142	92	554
143	92	550
144	92	547
145	93	544
146	93	541
147	93	538
148	93	535
149	94	532
150	94	530
151	94	527
152	94	524
153	94	521
154	95	518
155	95	516
156	95	513
157	95	511
158	96	508
159	96	506
160	96	502
161	96	500
162	96	497
163	97	495
164	97	492
165	97	490
166	97	487
167	98	485
168	98	483
169	98	481
170	98	478
171	98	476
172	99	474
173	99	471
174	99	469
175	99	467
176	100	465
177	100	462
178	100	460
179	100	458
180	100	456
181	101	454
182	101	452
183	101	450
184	101	448
185	102	446
186	102	444
187	102	442
188	102	441
189	103	439
190	103	437
191	103	435
192	103	433
193	103	431
194	104	429
195	104	428
196	104	426
197	104	424
198	105	423
199	105	421
200	105	419
201	105	417
202	105	416
203	106	414
204	106	412
205	106	411
206	106	409
207	107	407
208	107	406
209	107	404
210	107	403
211	108	401
212	108	400
213	108	398
214	108	396
215	108	395
216	109	393
217	109	392
218	109	390
219	109	389
220	110	388
221	110	386
222	110	385
223	110	383
224	111	382
225	111	380
226	111	379
227	111	378
228	111	376
229	112	375
230	112	374
231	112	372
232	112	371
233	113	370
234	113	368
235	113	367
236	113	366
237	113	364
238	114	363
239	114	362
240	114	361
241	114	359
242	115	358
243	115	357
244	115	356
245	115	354
246	116	353
247	116	352
248	116	351
249	116	350
250	117	349
251	117	348
252	117	346
253	117	345
254	117	344
255	118	343
256	118	342
257	118	341
258	118	340
259	119	339
260	119	338
261	119	336
262	119	335
263	120	334
264	120	333
265	120	332
266	120	331
267	121	330
268	121	329
269	121	328
270	121	327
271	122	326
272	122	325
273	122	324
274	122	323
275	123	322
276	123	321
277	123	320
278	123	319
279	123	318
280	124	317
281	124	316
282	124	315
283	124	314
284	125	313
285	125	312
286	125	311
287	125	310
288	125	309
289	126	308
290	126	307
291	126	306
292	126	306
293	127	305
294	127	304
295	127	303
296	127	302
297	128	301
298	128	300
299	128	299
300	128	298
301	128	297
302	129	297
303	129	296
304	129	295
305	129	294
306	130	293
307	130	292
308	130	291
309	130	291
310	131	290
311	131	289
312	131	288
313	131	287
314	131	286
315	132	286
316	132	285
317	132	284
318	132	283
319	133	282
320	133	282
321	133	281
322	133	280
323	134	279
324	134	278
325	134	278
326	134	277
327	134	276
328	135	275
329	135	274
330	135	274
331	135	273
332	136	272
333	136	271
334	136	270
335	136	270
336	136	269
337	137	268
338	137	267
339	137	267
340	137	266
341	138	265
342	138	264
343	138	264
344	138	263
345	138	262
346	139	261
347	139	261
348	139	260
349	139	259
350	140	258
351	140	258
352	140	257
353	140	256
354	140	255
355	141	255
356	141	254
357	141	253
358	141	253
359	142	252
360	142	251
361	142	251
362	142	250
363	143	249
364	143	249
365	143	248
366	143	247
367	143	247
368	144	246
369	144	245
370	144	245
371	144	244
372	145	243
373	145	243
374	145	242
375	145	241
376	146	241
377	146	240
378	146	239
379	146	239
380	146	238
381	147	238
382	147	237
383	147	236
384	147	236
385	148	235
386	148	234
387	148	234
388	148	233
389	148	232
390	149	232
391	149	231
392	149	230
393	149	230
394	150	229
395	150	229
396	150	228
397	150	227
398	150	227
399	151	226
400	151	226
401	151	225
402	151	224
403	152	224
404	152	223
405	152	223
406	152	222
407	152	221
408	153	221
409	153	220
410	153	220
411	153	219
412	154	218
413	154	218
414	154	217
415	154	217
416	154	216
417	155	216
418	155	215
419	155	214
420	155	214
421	156	213
422	156	213
423	156	212
424	156	212
425	156	211
426	157	210
427	157	210
428	157	209
429	157	209
430	158	208
431	158	208
432	158	207
433	158	207
434	159	206
435	159	206
436	159	205
437	159	204
438	159	204
439	160	203
440	160	203
441	160	202
442	160	202
443	161	201
444	161	201
445	161	200
446	161	200
447	162	199
448	162	199
449	162	198
450	162	198
451	163	197
452	163	197
453	163	196
454	163	196
455	163	195
456	164	195
457	164	194
458	164	194
459	164	193
460	165	192
461	165	192
462	165	192
463	165	191
464	166	191
465	166	190
466	166	190
467	166	189
468	166	188
469	167	188
470	167	187
471	167	187
472	167	186
473	168	186
474	168	185
475	168	185
476	168	184
477	168	184
478	169	184
479	169	183
480	169	183
481	169	182
482	170	182
483	170	181
484	170	181
485	170	180
486	171	180
487	171	179
488	171	179
489	171	178
490	171	178
491	172	177
492	172	177
493	172	176
494	172	176
495	173	175
496	173	175
497	173	174
498	173	174
499	174	174
500	174	173
501	174	173
502	174	172
503	175	172
504	175	171
505	175	171
506	175	170
507	175	170
508	176	169
509	176	169
510	176	169
511	176	168
512	177	168
513	177	167
514	177	167
515	177	166
516	178	166
517	178	165
518	178	165
